"","words","n","pos","neg"
"2224","73",2,0,2
"2225","7am",2,1,1
"2226","7th",2,1,1
"2227","80s",2,2,0
"2228","8th",2,1,1
"2229","911",2,0,2
"2230","9am",2,2,0
"2231","9pm",2,1,1
"2232","a9",2,0,2
"2233","abandon",2,1,1
"2234","abbi",2,1,1
"2235","abbymill18",2,0,2
"2236","abhi",2,2,0
"2237","abligaverins7",2,0,2
"2238","aboard",2,2,0
"2239","abt",2,1,1
"2240","abu",2,2,0
"2241","accnt",2,2,0
"2242","ach",2,0,2
"2243","acha",2,2,0
"2244","achi",2,2,0
"2245","achiev",2,2,0
"2246","acn",2,0,2
"2247","acoust",2,0,2
"2248","action",2,1,1
"2249","adam",2,1,1
"2250","admin",2,2,0
"2251","adult",2,0,2
"2252","advert",2,1,1
"2253","afang",2,2,0
"2254","aflblueshawk",2,0,2
"2255","afraid",2,1,1
"2256","ahahah",2,1,1
"2257","airforc",2,2,0
"2258","aj",2,1,1
"2259","ako",2,1,1
"2260","aku",2,1,1
"2261","akua",2,1,1
"2262","alarm",2,1,1
"2263","alter",2,1,1
"2264","amateur",2,0,2
"2265","amen",2,2,0
"2266","america",2,1,1
"2267","amin",2,1,1
"2268","amsterdam",2,1,1
"2269","an",2,0,2
"2270","angelica",2,1,1
"2271","angelo",2,1,1
"2272","ankl",2,0,2
"2273","ann",2,1,1
"2274","ano",2,0,2
"2275","anon",2,0,2
"2276","ant",2,0,2
"2277","anxious",2,1,1
"2278","anywher",2,0,2
"2279","apb",2,0,2
"2280","appeal",2,1,1
"2281","applic",2,2,0
"2282","april",2,1,1
"2283","arent",2,0,2
"2284","armor",2,0,2
"2285","arsenal",2,2,0
"2286","arummzz",2,2,0
"2287","ashton5so",2,1,1
"2288","asia",2,1,1
"2289","aski",2,0,2
"2290","associ",2,1,1
"2291","athabasca",2,0,2
"2292","atleast",2,2,0
"2293","atp",2,2,0
"2294","attempt",2,1,1
"2295","attitud",2,2,0
"2296","au",2,1,1
"2297","audienc",2,1,1
"2298","aur",2,2,0
"2299","aus",2,0,2
"2300","austin",2,1,1
"2301","author",2,2,0
"2302","avoid",2,0,2
"2303","award",2,2,0
"2304","awe",2,1,1
"2305","awwwww",2,1,1
"2306","backflip",2,2,0
"2307","backup",2,0,2
"2308","bacon",2,1,1
"2309","baggag",2,0,2
"2310","bailey",2,2,0
"2311","balik",2,1,1
"2312","ballad",2,0,2
"2313","bang",2,0,2
"2314","bani",2,0,2
"2315","bar",2,1,1
"2316","bark",2,1,1
"2317","barkada",2,1,1
"2318","basil",2,1,1
"2319","basketbal",2,2,0
"2320","bastard",2,0,2
"2321","bat",2,1,1
"2322","batalladelosgallo",2,0,2
"2323","batman",2,1,1
"2324","bay",2,1,1
"2325","bbm",2,2,0
"2326","bbmpin",2,2,0
"2327","bcoz",2,1,1
"2328","bcs",2,0,2
"2329","bear",2,1,1
"2330","bebe",2,1,1
"2331","beh",2,0,2
"2332","beirut",2,2,0
"2333","belfast",2,1,1
"2334","bell",2,1,1
"2335","ben",2,1,1
"2336","bend",2,2,0
"2337","benefit",2,2,0
"2338","benzema",2,0,2
"2339","besid",2,2,0
"2340","bffs",2,1,1
"2341","bias",2,0,2
"2342","billi",2,2,0
"2343","billion",2,1,1
"2344","bing",2,2,0
"2345","birmingham",2,1,1
"2346","birthdaaaaayyyi",2,2,0
"2347","bis",2,0,2
"2348","bish",2,0,2
"2349","bitter",2,2,0
"2350","bitti",2,2,0
"2351","blain",2,0,2
"2352","blame",2,1,1
"2353","blast",2,1,1
"2354","blend",2,2,0
"2355","bloodi",2,0,2
"2356","boat",2,2,0
"2357","bollywood",2,1,1
"2358","bone",2,1,1
"2359","bonus",2,2,0
"2360","boooo",2,0,2
"2361","born",2,1,1
"2362","botan",2,2,0
"2363","bow",2,0,2
"2364","braid",2,0,2
"2365","bravo",2,1,1
"2366","brb",2,1,1
"2367","bread",2,1,1
"2368","brian",2,2,0
"2369","brill",2,1,1
"2370","britain",2,1,1
"2371","brought",2,1,1
"2372","brow",2,1,1
"2373","brown",2,0,2
"2374","bruce",2,1,1
"2375","bruis",2,1,1
"2376","btob",2,0,2
"2377","bts",2,0,2
"2378","bubba",2,0,2
"2379","bud",2,1,1
"2380","bulli",2,0,2
"2381","bum",2,1,1
"2382","bummer",2,0,2
"2383","button",2,2,0
"2384","buzz",2,2,0
"2385","by",2,0,2
"2386","cafe",2,0,2
"2387","cage",2,0,2
"2388","calibraksaep",2,0,2
"2389","calibraskaep",2,0,2
"2390","calum",2,2,0
"2391","calum5so",2,1,1
"2392","cam",2,2,0
"2393","canon",2,1,1
"2394","canva",2,2,0
"2395","capcom",2,0,2
"2396","caramello",2,0,2
"2397","carlton",2,0,2
"2398","carol",2,2,0
"2399","carri",2,2,0
"2400","cartoon",2,1,1
"2401","cell",2,1,1
"2402","central",2,2,0
"2403","cereal",2,0,2
"2404","chain",2,1,1
"2405","chainsaw",2,2,0
"2406","chaloniklo",2,2,0
"2407","champagn",2,1,1
"2408","chant",2,2,0
"2409","charl",2,1,1
"2410","charm",2,1,1
"2411","chart",2,0,2
"2412","chek",2,2,0
"2413","chem",2,0,2
"2414","cherish",2,2,0
"2415","chin",2,0,2
"2416","china",2,2,0
"2417","chip",2,2,0
"2418","choke",2,1,1
"2419","chorong",2,1,1
"2420","christoph",2,2,0
"2421","church",2,0,2
"2422","circl",2,1,1
"2423","clark",2,1,1
"2424","clip",2,1,1
"2425","clown",2,0,2
"2426","clutch",2,1,1
"2427","cnn",2,0,2
"2428","cocktail",2,2,0
"2429","coco",2,2,0
"2430","cod",2,0,2
"2431","coff",2,2,0
"2432","coldplay",2,1,1
"2433","colin",2,1,1
"2434","collab",2,2,0
"2435","collaps",2,2,0
"2436","comfi",2,1,1
"2437","comfort",2,1,1
"2438","commit",2,0,2
"2439","companion",2,0,2
"2440","condit",2,1,1
"2441","conni",2,2,0
"2442","consol",2,1,1
"2443","constant",2,2,0
"2444","cont",2,0,2
"2445","contain",2,1,1
"2446","contestkiduniya",2,2,0
"2447","context",2,1,1
"2448","contribut",2,2,0
"2449","convinc",2,0,2
"2450","cooki",2,1,1
"2451","cop",2,1,1
"2452","correct",2,1,1
"2453","cost",2,1,1
"2454","couldv",2,0,2
"2455","counti",2,0,2
"2456","court",2,2,0
"2457","cowork",2,1,1
"2458","craaaazzyy",2,0,2
"2459","crackl",2,1,1
"2460","craft",2,2,0
"2461","creativ",2,2,0
"2462","cretaperfect4m",2,2,0
"2463","cretaperfectsuv",2,2,0
"2464","crew",2,2,0
"2465","crikey",2,0,2
"2466","crisi",2,0,2
"2467","croke",2,0,2
"2468","cs",2,1,1
"2469","cunt",2,1,1
"2470","cupcak",2,0,2
"2471","curri",2,2,0
"2472","cyber",2,1,1
"2473","cynic",2,2,0
"2474","daal",2,0,2
"2475","dah",2,2,0
"2476","dammit",2,0,2
"2477","daredevil",2,2,0
"2478","david",2,2,0
"2479","dbn",2,0,2
"2480","deaf",2,2,0
"2481","dearslim",2,2,0
"2482","debat",2,2,0
"2483","debt",2,2,0
"2484","deep",2,1,1
"2485","defend",2,2,0
"2486","degre",2,1,1
"2487","delphi",2,0,2
"2488","delv",2,2,0
"2489","demand",2,2,0
"2490","demo",2,2,0
"2491","denim",2,1,1
"2492","denmark",2,1,1
"2493","dentist",2,0,2
"2494","depart",2,2,0
"2495","desc",2,1,1
"2496","descript",2,1,1
"2497","desper",2,0,2
"2498","dessert",2,0,2
"2499","devic",2,0,2
"2500","dewsburi",2,2,0
"2501","dey",2,0,2
"2502","dialogu",2,2,0
"2503","diet",2,1,1
"2504","din",2,1,1
"2505","dire",2,0,2
"2506","direct",2,2,0
"2507","disabl",2,0,2
"2508","disc",2,1,1
"2509","disciplin",2,0,2
"2510","discoveri",2,1,1
"2511","disney",2,1,1
"2512","display",2,1,1
"2513","distract",2,1,1
"2514","doin",2,0,2
"2515","dom",2,0,2
"2516","dominion",2,2,0
"2517","dongsaeng",2,1,1
"2518","dongwoo",2,1,1
"2519","donut",2,2,0
"2520","doodl",2,2,0
"2521","doom",2,1,1
"2522","dope",2,2,0
"2523","dota",2,1,1
"2524","doug",2,2,0
"2525","dragon",2,2,0
"2526","drown",2,0,2
"2527","drug",2,1,1
"2528","dublin",2,0,2
"2529","duh",2,2,0
"2530","duke",2,2,0
"2531","dum",2,2,0
"2532","duo",2,0,2
"2533","duti",2,0,2
"2534","earring",2,0,2
"2535","ebay",2,2,0
"2536","eboni",2,0,2
"2537","ebook",2,1,1
"2538","edm",2,1,1
"2539","edsa",2,0,2
"2540","edward",2,1,1
"2541","egypt",2,1,1
"2542","elf",2,1,1
"2543","elfindelmundo",2,1,1
"2544","embarrass",2,0,2
"2545","emili",2,1,1
"2546","emir",2,2,0
"2547","emma",2,0,2
"2548","emo",2,0,2
"2549","en",2,1,1
"2550","enabl",2,1,1
"2551","entertain",2,0,2
"2552","eonni",2,1,1
"2553","epic",2,1,1
"2554","equal",2,2,0
"2555","erm",2,1,1
"2556","esteem",2,1,1
"2557","et",2,0,2
"2558","etern",2,2,0
"2559","europ",2,1,1
"2560","euuuwwww",2,0,2
"2561","eventu",2,1,1
"2562","evet",2,1,1
"2563","evil",2,1,1
"2564","ew",2,1,1
"2565","ex",2,2,0
"2566","exclud",2,0,2
"2567","exit",2,0,2
"2568","expand",2,2,0
"2569","expel",2,2,0
"2570","experienc",2,0,2
"2571","expert",2,1,1
"2572","expir",2,0,2
"2573","explain",2,2,0
"2574","explan",2,2,0
"2575","explor",2,2,0
"2576","expo",2,0,2
"2577","extern",2,0,2
"2578","extravag",2,2,0
"2579","fabian",2,0,2
"2580","factori",2,1,1
"2581","fanci",2,1,1
"2582","fani",2,1,1
"2583","fardo",2,2,0
"2584","fashion",2,2,0
"2585","father",2,0,2
"2586","fault",2,0,2
"2587","favor",2,2,0
"2588","fbc",2,0,2
"2589","fc",2,1,1
"2590","fck",2,0,2
"2591","fear",2,1,1
"2592","feetblog101",2,2,0
"2593","ffback",2,2,0
"2594","fic",2,2,0
"2595","field",2,1,1
"2596","fifa",2,1,1
"2597","fire",2,1,1
"2598","flash",2,1,1
"2599","flesh",2,1,1
"2600","flew",2,0,2
"2601","float",2,0,2
"2602","floor",2,0,2
"2603","fm",2,2,0
"2604","foh",2,2,0
"2605","foiegra",2,2,0
"2606","folder",2,1,1
"2607","forest",2,1,1
"2608","forgiv",2,2,0
"2609","fourfivesecond",2,2,0
"2610","freddi",2,2,0
"2611","freedom",2,1,1
"2612","freez",2,0,2
"2613","fridg",2,2,0
"2614","frog",2,0,2
"2615","ftw",2,0,2
"2616","fulli",2,2,0
"2617","function",2,0,2
"2618","ga",2,2,0
"2619","gagal",2,0,2
"2620","gal",2,2,0
"2621","ganda",2,1,1
"2622","gang",2,1,1
"2623","ganteng",2,1,1
"2624","geek",2,2,0
"2625","gem",2,2,0
"2626","gen",2,2,0
"2627","genuin",2,0,2
"2628","georgi",2,1,1
"2629","georgia",2,0,2
"2630","gi",2,0,2
"2631","gimm",2,0,2
"2632","glacier",2,0,2
"2633","glasgow",2,2,0
"2634","glow",2,1,1
"2635","godbless",2,2,0
"2636","gohf",2,2,0
"2637","goin",2,1,1
"2638","goodluck",2,1,1
"2639","gossip",2,2,0
"2640","grab",2,2,0
"2641","grace",2,2,0
"2642","graphic",2,2,0
"2643","grew",2,0,2
"2644","grind",2,1,1
"2645","ground",2,0,2
"2646","grown",2,0,2
"2647","guest",2,0,2
"2648","guinea",2,1,1
"2649","gujarat",2,1,1
"2650","gun",2,2,0
"2651","gurl",2,1,1
"2652","hahahah",2,0,2
"2653","haix",2,0,2
"2654","hall",2,1,1
"2655","hamster",2,0,2
"2656","hangout",2,0,2
"2657","happiest",2,2,0
"2658","happili",2,1,1
"2659","harder",2,0,2
"2660","hatr",2,2,0
"2661","hawk",2,1,1
"2662","hbd",2,1,1
"2663","hd",2,0,2
"2664","header",2,0,2
"2665","headlin",2,1,1
"2666","heartbreak",2,0,2
"2667","heath",2,0,2
"2668","heaven",2,2,0
"2669","hee",2,2,0
"2670","heed",2,0,2
"2671","heel",2,2,0
"2672","heheheh",2,2,0
"2673","heiya",2,2,0
"2674","heiyo",2,2,0
"2675","helen",2,2,0
"2676","hero",2,2,0
"2677","highvalu",2,2,0
"2678","hii",2,1,1
"2679","hiii",2,2,0
"2680","hk",2,1,1
"2681","hmmm",2,1,1
"2682","hmmmm",2,2,0
"2683","hmu",2,2,0
"2684","hogan",2,0,2
"2685","homobiphob",2,0,2
"2686","hong",2,1,1
"2687","honor",2,2,0
"2688","hoodi",2,2,0
"2689","hopeless",2,0,2
"2690","horni",2,0,2
"2691","horrif",2,0,2
"2692","host",2,1,1
"2693","hotfmnoaidilforariana",2,0,2
"2694","hotgirl",2,0,2
"2695","hp",2,0,2
"2696","hr",2,1,1
"2697","hrs",2,1,1
"2698","hua",2,0,2
"2699","hubbi",2,1,1
"2700","hugh",2,0,2
"2701","hunni",2,1,1
"2702","hush",2,0,2
"2703","hushedpinwithsammi",2,2,0
"2704","hyper",2,0,2
"2705","hz",2,0,2
"2706","iam",2,0,2
"2707","icon",2,1,1
"2708","idaho",2,0,2
"2709","ideal",2,2,0
"2710","idr",2,2,0
"2711","ign",2,2,0
"2712","ik",2,0,2
"2713","ili",2,2,0
"2714","iloveyou",2,2,0
"2715","imma",2,0,2
"2716","imo",2,0,2
"2717","impecc",2,2,0
"2718","improv",2,2,0
"2719","imysm",2,0,2
"2720","inaccess",2,2,0
"2721","inch",2,0,2
"2722","incl",2,0,2
"2723","inconsider",2,0,2
"2724","indi",2,2,0
"2725","individu",2,2,0
"2726","industri",2,1,1
"2727","infront",2,0,2
"2728","init",2,0,2
"2729","injuri",2,0,2
"2730","ink",2,0,2
"2731","inner",2,2,0
"2732","inni",2,2,0
"2733","instant",2,1,1
"2734","intellectu",2,2,0
"2735","inter",2,1,1
"2736","intro",2,2,0
"2737","introduc",2,2,0
"2738","inuyasha",2,0,2
"2739","invest",2,1,1
"2740","ip",2,1,1
"2741","iph0n",2,2,0
"2742","ipod",2,0,2
"2743","iren",2,0,2
"2744","irish",2,2,0
"2745","irl",2,0,2
"2746","irresist",2,2,0
"2747","isi",2,1,1
"2748","isol",2,1,1
"2749","itd",2,1,1
"2750","itna",2,0,2
"2751","ito",2,2,0
"2752","itti",2,2,0
"2753","jacki",2,2,0
"2754","jahat",2,0,2
"2755","jai",2,1,1
"2756","jail",2,0,2
"2757","jamesyammouni",2,1,1
"2758","jane",2,1,1
"2759","jazz",2,2,0
"2760","jennyjean22",2,1,1
"2761","jeremi",2,1,1
"2762","jersey",2,0,2
"2763","jess",2,1,1
"2764","ji",2,2,0
"2765","jillcruz18",2,0,2
"2766","jim",2,1,1
"2767","jimin",2,1,1
"2768","jonghyun",2,1,1
"2769","jordan",2,1,1
"2770","josh",2,1,1
"2771","journeyps4",2,2,0
"2772","juan",2,1,1
"2773","judg",2,2,0
"2774","june",2,0,2
"2775","junior",2,2,0
"2776","junjou",2,0,2
"2777","justic",2,1,1
"2778","justiceforsandrabland",2,0,2
"2779","karachi",2,2,0
"2780","karain",2,2,0
"2781","kareena",2,2,0
"2782","kat",2,0,2
"2783","kate",2,0,2
"2784","kaya",2,0,2
"2785","keepitloc",2,2,0
"2786","kepler",2,2,0
"2787","kepo",2,1,1
"2788","kept",2,0,2
"2789","kfckitchentour",2,2,0
"2790","khatam",2,0,2
"2791","kia",2,1,1
"2792","kidney",2,0,2
"2793","kikmsn",2,0,2
"2794","kindest",2,2,0
"2795","kindl",2,2,0
"2796","kingdom",2,1,1
"2797","kita",2,0,2
"2798","kitkat",2,0,2
"2799","kitti",2,1,1
"2800","knive",2,1,1
"2801","knowledg",2,2,0
"2802","knw",2,1,1
"2803","kong",2,1,1
"2804","kuch",2,1,1
"2805","kyle",2,1,1
"2806","l4l",2,2,0
"2807","lab",2,1,1
"2808","lack",2,2,0
"2809","ladder",2,0,2
"2810","lafayett",2,0,2
"2811","land",2,2,0
"2812","landscap",2,2,0
"2813","laomma",2,0,2
"2814","lap",2,1,1
"2815","laptop",2,1,1
"2816","laura",2,1,1
"2817","lead",2,1,1
"2818","leadership",2,2,0
"2819","leanneriner19",2,1,1
"2820","ledger",2,0,2
"2821","leftov",2,0,2
"2822","legend",2,0,2
"2823","legibl",2,0,2
"2824","legit",2,1,1
"2825","lemm",2,1,1
"2826","lemon",2,2,0
"2827","lewi",2,1,1
"2828","lick",2,1,1
"2829","lisa",2,2,0
"2830","lisaherring19",2,0,2
"2831","literatur",2,2,0
"2832","liv",2,2,0
"2833","liverpool",2,0,2
"2834","lmaoo",2,2,0
"2835","lmfao",2,0,2
"2836","lng",2,2,0
"2837","loan",2,2,0
"2838","lock",2,0,2
"2839","logo",2,2,0
"2840","loool",2,0,2
"2841","loss",2,0,2
"2842","lotsa",2,2,0
"2843","lotteri",2,1,1
"2844","loudest",2,2,0
"2845","loung",2,1,1
"2846","loyal",2,2,0
"2847","lu",2,1,1
"2848","luke5so",2,1,1
"2849","lynettelow",2,1,1
"2850","maa",2,0,2
"2851","madi",2,0,2
"2852","mag",2,0,2
"2853","maganda",2,1,1
"2854","magazin",2,2,0
"2855","mah",2,0,2
"2856","male",2,1,1
"2857","malik",2,1,1
"2858","mam",2,2,0
"2859","mama",2,1,1
"2860","manchest",2,0,2
"2861","mango",2,1,1
"2862","map",2,2,0
"2863","mapl",2,2,0
"2864","march",2,1,1
"2865","marin",2,2,0
"2866","marmit",2,2,0
"2867","marshmallow",2,0,2
"2868","mart",2,0,2
"2869","marti",2,2,0
"2870","mask",2,2,0
"2871","matchi",2,0,2
"2872","materi",2,2,0
"2873","math",2,1,1
"2874","matthew",2,1,1
"2875","maxfreshmov",2,2,0
"2876","mb",2,1,1
"2877","mbf",2,1,1
"2878","meal",2,0,2
"2879","meat",2,1,1
"2880","medic",2,1,1
"2881","megan",2,1,1
"2882","mein",2,1,1
"2883","melodi",2,1,1
"2884","melt",2,1,1
"2885","merci",2,1,1
"2886","méxico",2,1,1
"2887","mia",2,1,1
"2888","miami",2,1,1
"2889","midnight",2,1,1
"2890","migrain",2,0,2
"2891","milli",2,0,2
"2892","million",2,2,0
"2893","minist",2,2,0
"2894","mino",2,0,2
"2895","miser",2,0,2
"2896","misss",2,0,2
"2897","mist45gameplay",2,2,0
"2898","mister",2,2,0
"2899","mistress",2,2,0
"2900","mixtap",2,0,2
"2901","mjhe",2,0,2
"2902","mm",2,1,1
"2903","moar",2,2,0
"2904","mockingjay",2,1,1
"2905","mode",2,0,2
"2906","modern",2,1,1
"2907","momo",2,0,2
"2908","mon",2,2,0
"2909","monica",2,1,1
"2910","moo",2,2,0
"2911","moodbost",2,0,2
"2912","mosquito",2,0,2
"2913","mous",2,2,0
"2914","movie",2,1,1
"2915","mrs",2,1,1
"2916","msgs",2,1,1
"2917","mubarik",2,2,0
"2918","muchhh",2,1,1
"2919","mumma",2,0,2
"2920","munchkin",2,1,1
"2921","muslim",2,1,1
"2922","mypapamyprid",2,2,0
"2923","nae",2,0,2
"2924","nahi",2,1,1
"2925","nakamaforev",2,0,2
"2926","naman",2,1,1
"2927","nash",2,1,1
"2928","nasti",2,1,1
"2929","nate",2,1,1
"2930","nc",2,2,0
"2931","nearest",2,1,1
"2932","neh",2,0,2
"2933","nerd",2,2,0
"2934","nerv",2,1,1
"2935","netbal",2,1,1
"2936","nex",2,2,0
"2937","nhi",2,1,1
"2938","niamh",2,1,1
"2939","nibbl",2,2,0
"2940","nic",2,2,0
"2941","nichola",2,2,0
"2942","nigga",2,0,2
"2943","nighter",2,0,2
"2944","nike",2,1,1
"2945","nikki",2,2,0
"2946","nila",2,1,1
"2947","nintendo",2,0,2
"2948","non",2,1,1
"2949","notion",2,1,1
"2950","nsfw",2,1,1
"2951","nth",2,1,1
"2952","nvm",2,0,2
"2953","nw",2,0,2
"2954","nxt",2,1,1
"2955","odoo",2,0,2
"2956","of",2,1,1
"2957","ofc",2,1,1
"2958","offens",2,0,2
"2959","offlin",2,1,1
"2960","oitnb",2,1,1
"2961","okayi",2,2,0
"2962","olivia",2,0,2
"2963","olli",2,2,0
"2964","omfg",2,0,2
"2965","onboard",2,1,1
"2966","oo",2,1,1
"2967","opinion",2,2,0
"2968","or",2,2,0
"2969","orang",2,0,2
"2970","organis",2,1,1
"2971","os",2,1,1
"2972","otw",2,1,1
"2973","outi",2,2,0
"2974","outta",2,1,1
"2975","ov",2,0,2
"2976","oven",2,2,0
"2977","over",2,1,1
"2978","ovh",2,2,0
"2979","owwww",2,1,1
"2980","pabeb",2,0,2
"2981","pair",2,2,0
"2982","pakistan",2,1,1
"2983","pal",2,1,1
"2984","palac",2,2,0
"2985","pale",2,0,2
"2986","pancak",2,2,0
"2987","pandora",2,2,0
"2988","pant",2,1,1
"2989","parcel",2,2,0
"2990","partner",2,0,2
"2991","pas",2,0,2
"2992","path",2,1,1
"2993","patric",2,2,0
"2994","paypal",2,1,1
"2995","peek",2,2,0
"2996","perf",2,0,2
"2997","permiss",2,0,2
"2998","persona",2,1,1
"2999","pete",2,1,1
"3000","peter",2,1,1
"3001","pfb",2,1,1
"3002","ph",2,0,2
"3003","phase",2,2,0
"3004","philippa",2,2,0
"3005","philippin",2,2,0
"3006","phonesex",2,1,1
"3007","photograph",2,2,0
"3008","photoshop",2,0,2
"3009","pi",2,1,1
"3010","piano",2,0,2
"3011","pict",2,1,1
"3012","pierc",2,0,2
"3013","pile",2,2,0
"3014","pillar",2,2,0
"3015","pixar",2,2,0
"3016","pixel",2,0,2
"3017","pixgram",2,2,0
"3018","pkwalasawa",2,1,1
"3019","planet",2,2,0
"3020","plaster",2,0,2
"3021","playstat",2,0,2
"3022","plea",2,0,2
"3023","pleasant",2,2,0
"3024","pleasee",2,1,1
"3025","plot",2,0,2
"3026","plug",2,0,2
"3027","pocket",2,1,1
"3028","polic",2,0,2
"3029","popcorn",2,0,2
"3030","porn",2,0,2
"3031","porno",2,1,1
"3032","portrait",2,1,1
"3033","pose",2,2,0
"3034","poster",2,2,0
"3035","pour",2,1,1
"3036","presid",2,2,0
"3037","pressur",2,0,2
"3038","pretend",2,2,0
"3039","previous",2,0,2
"3040","pri",2,2,0
"3041","pride",2,1,1
"3042","prime",2,2,0
"3043","privileg",2,0,2
"3044","produc",2,1,1
"3045","programm",2,1,1
"3046","properti",2,2,0
"3047","protect",2,1,1
"3048","ps",2,0,2
"3049","pta",2,2,0
"3050","pub",2,1,1
"3051","puddl",2,0,2
"3052","pull",2,1,1
"3053","pumpkin",2,1,1
"3054","puppi",2,1,1
"3055","qualifi",2,0,2
"3056","racket",2,2,0
"3057","railway",2,1,1
"3058","rant",2,1,1
"3059","rare",2,1,1
"3060","raspberri",2,1,1
"3061","rat",2,0,2
"3062","razi",2,2,0
"3063","reaction",2,1,1
"3064","recit",2,2,0
"3065","recruit",2,2,0
"3066","regard",2,1,1
"3067","rehears",2,1,1
"3068","rent",2,0,2
"3069","repath",2,2,0
"3070","replac",2,0,2
"3071","replay",2,1,1
"3072","repost",2,0,2
"3073","reput",2,2,0
"3074","research",2,1,1
"3075","resid",2,2,0
"3076","respond",2,0,2
"3077","reunit",2,1,1
"3078","reveal",2,0,2
"3079","rewatch",2,1,1
"3080","rich",2,1,1
"3081","richard",2,0,2
"3082","ridicul",2,0,2
"3083","risk",2,0,2
"3084","rita",2,2,0
"3085","river",2,2,0
"3086","role",2,2,0
"3087","roller",2,2,0
"3088","romanc",2,1,1
"3089","romant",2,2,0
"3090","rout",2,2,0
"3091","routin",2,2,0
"3092","row",2,0,2
"3093","rp",2,1,1
"3094","rubbish",2,1,1
"3095","russian",2,0,2
"3096","sabah",2,2,0
"3097","saddest",2,0,2
"3098","sakit",2,0,2
"3099","sandroforceo",2,2,0
"3100","sara",2,0,2
"3101","sath",2,2,0
"3102","sauc",2,2,0
"3103","scene",2,1,1
"3104","schade",2,0,2
"3105","scheme",2,0,2
"3106","scientist",2,1,1
"3107","scorch",2,1,1
"3108","scoup",2,0,2
"3109","sehun",2,1,1
"3110","self",2,1,1
"3111","selfshot",2,0,2
"3112","sellyourcarin5word",2,2,0
"3113","sem",2,0,2
"3114","semest",2,0,2
"3115","semo",2,2,0
"3116","serv",2,1,1
"3117","sethi",2,2,0
"3118","seven",2,2,0
"3119","sexdat",2,0,2
"3120","sexyjudy19",2,2,0
"3121","sf",2,1,1
"3122","sg",2,1,1
"3123","shadi",2,1,1
"3124","shane",2,0,2
"3125","sharethelov",2,2,0
"3126","sharp",2,2,0
"3127","sheep",2,1,1
"3128","sheffield",2,1,1
"3129","shem",2,0,2
"3130","shepherd",2,0,2
"3131","shorter",2,1,1
"3132","shoshannavassil",2,1,1
"3133","shoutout",2,1,1
"3134","shut",2,0,2
"3135","sian",2,0,2
"3136","sight",2,1,1
"3137","simpl",2,1,1
"3138","skate",2,1,1
"3139","sky",2,2,0
"3140","slap",2,1,1
"3141","sleeeeep",2,0,2
"3142","slot",2,0,2
"3143","slovenia",2,2,0
"3144","slr",2,1,1
"3145","smthng",2,2,0
"3146","snsd",2,0,2
"3147","societi",2,2,0
"3148","soft",2,1,1
"3149","solut",2,1,1
"3150","solv",2,2,0
"3151","som",2,1,1
"3152","somebodi",2,1,1
"3153","somehow",2,0,2
"3154","sooooooooo",2,1,1
"3155","sour",2,1,1
"3156","sourc",2,2,0
"3157","south",2,2,0
"3158","spare",2,1,1
"3159","specif",2,0,2
"3160","speed",2,0,2
"3161","spill",2,2,0
"3162","spin",2,1,1
"3163","spring",2,1,1
"3164","st",2,0,2
"3165","stabl",2,1,1
"3166","stack",2,1,1
"3167","staff",2,1,1
"3168","stan",2,1,1
"3169","standard",2,2,0
"3170","startup",2,2,0
"3171","starv",2,0,2
"3172","stash",2,2,0
"3173","steak",2,1,1
"3174","stealth",2,0,2
"3175","steel",2,1,1
"3176","steph",2,1,1
"3177","stephani",2,2,0
"3178","steve",2,2,0
"3179","stockholm",2,1,1
"3180","stole",2,0,2
"3181","strike",2,1,1
"3182","striker",2,0,2
"3183","stripe",2,0,2
"3184","structur",2,1,1
"3185","stung",2,0,2
"3186","subscrib",2,2,0
"3187","suitcas",2,2,0
"3188","suk",2,0,2
"3189","sunburn",2,1,1
"3190","sunflow",2,2,0
"3191","superpow",2,2,0
"3192","suprem",2,1,1
"3193","surf",2,1,1
"3194","surrend",2,2,0
"3195","suspend",2,0,2
"3196","swag",2,1,1
"3197","swan",2,1,1
"3198","sweat",2,0,2
"3199","sweetbj",2,0,2
"3200","sweetest",2,1,1
"3201","swell",2,0,2
"3202","sympathi",2,1,1
"3203","sync",2,0,2
"3204","t20blast",2,1,1
"3205","ta",2,1,1
"3206","tab",2,0,2
"3207","tabl",2,0,2
"3208","tall",2,0,2
"3209","tame",2,2,0
"3210","tara",2,2,0
"3211","taxi",2,1,1
"3212","tay",2,0,2
"3213","tbt",2,1,1
"3214","teach",2,2,0
"3215","teacher",2,1,1
"3216","teaser",2,2,0
"3217","ted",2,2,0
"3218","teeni",2,2,0
"3219","telat",2,1,1
"3220","telecom",2,2,0
"3221","tempt",2,0,2
"3222","thanki",2,2,0
"3223","thanq",2,2,0
"3224","thatjust",2,1,1
"3225","theme",2,0,2
"3226","theori",2,1,1
"3227","theyd",2,0,2
"3228","third",2,1,1
"3229","thorp",2,0,2
"3230","those",2,1,1
"3231","threw",2,1,1
"3232","thrill",2,2,0
"3233","ti5",2,1,1
"3234","tidi",2,2,0
"3235","tierd",2,0,2
"3236","tight",2,1,1
"3237","titl",2,2,0
"3238","tix",2,2,0
"3239","tmrw",2,2,0
"3240","toast",2,1,1
"3241","toffe",2,0,2
"3242","tokyo",2,1,1
"3243","tomato",2,1,1
"3244","tool",2,2,0
"3245","toothsensit",2,0,2
